Company_id;Reference_date_month;Product;Sub_product;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;Sector;Sub_sector;Turnover;Revenue_Scale;ZIP;Data_usage;Voice_usage;Monthly_expense;N_lines
2466;2019-11-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;12.0616369247437;7018.416669;488.655836;26
2601;2019-09-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;10;24;275;1300000;500.001 - 2.500.000;72124;1.487339019775392;372.41666699999996;57.411138;4
2601;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;10;24;275;1300000;500.001 - 2.500.000;72124;2.72676277160644;43.616665999999995;53.7569;4
2601;2019-11-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;10;24;275;1300000;500.001 - 2.500.000;72124;3.8929653167724623;91.433333;48.493624999999994;4
2610;2019-09-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;1;65;674;300000;250.001 - 500.000;72124;0.196712493896484;102.05;40.524658;1
2610;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;1;65;674;300000;250.001 - 500.000;72124;0.099848747253418;166.016667;40.867226;1
2610;2019-11-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;1;65;674;300000;250.001 - 500.000;72124;0.0994586944580078;119.75;40.698148;1
2658;2019-09-01 00:00:00;FB;FB S;indoor;indoor;outdoor;32;17;164;2865545;2.500.001 - 5.000.000;72555;2.27657985687256;217.716667;39.3202;1
2658;2019-10-01 00:00:00;FB;FB S;indoor;indoor;outdoor;32;17;164;2865545;2.500.001 - 5.000.000;72555;2.67452812194824;215.183333;39.445456;1
2658;2019-11-01 00:00:00;FB;FB S;indoor;indoor;outdoor;32;17;164;2865545;2.500.001 - 5.000.000;72555;1.53186988830566;111.35;33.599614;1
2835;2019-09-01 00:00:00;FB;FB S;indoor;indoor;indoor;17;17;164;;;72770;0.27134895324707;33.716667;17.598333;1
2835;2019-10-01 00:00:00;FB;FB S;indoor;indoor;indoor;17;17;164;;;72770;0.242335319519043;89.6;18.167039;1
2835;2019-11-01 00:00:00;FB;FB S;indoor;indoor;indoor;17;17;164;;;72770;0.203341484069824;103.366667;18.31715;1
2948;2019-09-01 00:00:00;FB;FB M;;;;;75;749;;;64289;4.19193077087402;204.883333;83.628716;2
2948;2019-09-01 00:00:00;FB;FB S;;;;;75;749;;;64289;3.90189552307129;315.55;151.056864;5
2948;2019-10-01 00:00:00;FB;FB M;;;;;75;749;;;64289;6.29684829711914;249.916667;96.299172;2
2948;2019-10-01 00:00:00;FB;FB S;;;;;75;749;;;64289;3.63731861114502;822.983332;151.478536;5
2948;2019-11-01 00:00:00;FB;FB M;;;;;75;749;;;64289;7.94307231903076;205.95;96.369431;2
2948;2019-11-01 00:00:00;FB;FB S;;;;;75;749;;;64289;2.15705585479736;191.533333;150.802034;5
3289;2019-09-01 00:00:00;FB;FB Unlimited International;indoor;indoor;indoor;2250;40;420;513209206;über 500.000.000;80992;138.711760520935;0.0;80.0;1
3289;2019-10-01 00:00:00;FB;FB Unlimited International;indoor;indoor;indoor;2250;40;420;513209206;über 500.000.000;80992;169.539546966553;0.0;80.0;1
3289;2019-11-01 00:00:00;FB;FB Unlimited International;indoor;indoor;indoor;2250;40;420;513209206;über 500.000.000;80992;129.544940948486;0.0;80.0;1
3310;2019-09-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;30;40;430;;;85402;3.26541614532471;275.85;31.210667;1
3310;2019-10-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;30;40;430;;;85402;3.67832851409912;391.3;31.844441;1
3310;2019-11-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;30;40;430;;;85402;2.61947536468506;271.416667;40.976227;1
3717;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;;62;658;25375000;25.000.001 - 50.000.000;74321;599.29788684845;141396.287173;4983.517414;237
4377;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;130;16;160;15500000;5.000.001 - 25.000.000;72649;1.5183601379394531;1080.416666;76.842748;9
4377;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;130;16;160;15500000;5.000.001 - 25.000.000;72649;0.9470977783203124;1028.083334;76.48283;9
4377;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;130;16;160;15500000;5.000.001 - 25.000.000;72649;0.555049896240234;622.75;74.675209;9
4768;2019-09-01 00:00:00;FB;FB L 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;3.5610466003418;420.25;85.397505;1
4768;2019-09-01 00:00:00;FB;FB M 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;22.7524509429932;328.533333;141.793926;4
4768;2019-10-01 00:00:00;FB;FB L 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;5.59393215179443;325.5;45.387;1
4768;2019-10-01 00:00:00;FB;FB M 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;7.66084671020508;435.716667;133.224322;4
4768;2019-11-01 00:00:00;FB;FB L 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;6.56227779388428;425.033333;46.855401;1
4768;2019-11-01 00:00:00;FB;FB M 2.0;outdoor;no_coverage;indoor;;74;738;;;83278;3.51478385925293;539.433333;138.70168;4
4864;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;263;42;488;;;70565;0.183161735534668;1907.8;35.999016;1
4864;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;263;42;488;;;70565;0.441598892211914;1792.033333;38.102342;1
4864;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;263;42;488;;;70565;0.285529136657715;1751.15;36.506491;1
4999;2019-10-01 00:00:00;FB;FB L 2.0;indoor;outdoor;indoor;13;42;491;4000000;2.500.001 - 5.000.000;85540;0.0;0.0;15.4839;3
4999;2019-11-01 00:00:00;FB;FB L 2.0;indoor;outdoor;indoor;13;42;491;4000000;2.500.001 - 5.000.000;85540;0.324222564697266;5.766667;120.0006;3
5023;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;200;73;724;68364625;50.000.001 - 500.000.000;45131;3.94677829742432;135.888104;57.966213;1
5023;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;200;73;724;68364625;50.000.001 - 500.000.000;45131;1.62069892883301;224.395477;57.927064;1
5023;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;200;73;724;68364625;50.000.001 - 500.000.000;45131;1.77496528625488;57.797398;57.833847;1
5354;2019-09-01 00:00:00;FB;FB L 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;5.3556432723999;104.266667;45.999539;1
5354;2019-09-01 00:00:00;FB;FB S;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;0.0;554.35;43.534363;2
5354;2019-09-01 00:00:00;FB;FB S 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;5.69755840301514;288.416666;76.568521;3
5354;2019-10-01 00:00:00;FB;FB L 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;3.83871078491211;210.75;48.593185;1
5354;2019-10-01 00:00:00;FB;FB S;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;1.3923645019531E-4;591.0;53.757529;2
5354;2019-10-01 00:00:00;FB;FB S 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;8.98208808898926;489.916667;81.031651;3
5354;2019-11-01 00:00:00;FB;FB L 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;9.07965469360352;21.05;47.695102;1
5354;2019-11-01 00:00:00;FB;FB S;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;5.8174133300781E-4;722.383334;47.65062;2
5354;2019-11-01 00:00:00;FB;FB S 2.0;outdoor;outdoor;outdoor;200;77;764;3600000;2.500.001 - 5.000.000;83088;5.21609687805176;330.1;76.637593;3
5374;2019-09-01 00:00:00;FB;FB M;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.455840110778809;66.166667;63.448109;2
5374;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;20.4365482330322;7.216667;30.000897;1
5374;2019-09-01 00:00:00;FB;FB S;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.00130558013916015;46.033333;47.543301;4
5374;2019-10-01 00:00:00;FB;FB M;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.495780944824219;122.333334;65.001247;2
5374;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;19.9545583724976;1.516667;30.014508;1
5374;2019-10-01 00:00:00;FB;FB S;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.0;59.683333;80.075781;4
5374;2019-11-01 00:00:00;FB;FB M;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.281831741333008;173.7;68.847741;2
5374;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;20.1928443908691;8.6;30.0001;1
5374;2019-11-01 00:00:00;FB;FB S;indoor;indoor;indoor;206;33;377;78534918;50.000.001 - 500.000.000;45699;0.00544452667236326;116.933334;80.219392;4
5584;2019-09-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;115;51;589;18500000;5.000.001 - 25.000.000;35039;0.0310554504394531;142.983333;70.463092;2
5584;2019-10-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;115;51;589;18500000;5.000.001 - 25.000.000;35039;0.011570930480957;207.583333;56.542458;2
5584;2019-11-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;115;51;589;18500000;5.000.001 - 25.000.000;35039;0.0472860336303711;71.683333;35.141766;2
5728;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;14200;75;749;177570000;50.000.001 - 500.000.000;91054;13.7038736343384;666.483333;37.387468;1
5728;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;14200;75;749;177570000;50.000.001 - 500.000.000;91054;4.58064079284668;498.85;37.71177;1
5728;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;14200;75;749;177570000;50.000.001 - 500.000.000;91054;2.5990571975708;420.733333;36.764078;1
5954;2019-09-01 00:00:00;FB;FB S;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;5.64213562011719;115.482184;46.976999;2
5954;2019-09-01 00:00:00;FB;FB S 2.0;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;10.0571851730347;162.582759;27.500337;1
5954;2019-10-01 00:00:00;FB;FB S;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;7.03467845916748;212.952299;47.058816;2
5954;2019-10-01 00:00:00;FB;FB S 2.0;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;2.21432495117188;430.651149;28.863295;1
5954;2019-11-01 00:00:00;FB;FB S;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;5.27947521209717;54.13046;46.958546;2
5954;2019-11-01 00:00:00;FB;FB S 2.0;indoor;indoor;outdoor;33;44;550;4188607;2.500.001 - 5.000.000;96106;1.67234039306641;229.656897;27.630425;1
6087;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;53;24;256;5801938;5.000.001 - 25.000.000;27809;0.0498294830322265;1.133333;0.009223;13
