City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Murrhardt;0;500.001 - 2.500.000;1950000;27;15;10 - 19;291;290;290;18;23;59;59;1;1943.3513704066804;2473.2575100021795
Haiterbach;0;5.000.001 - 25.000.000;9000000;27;14;20 - 49;290;292;292;38;40;49;47;4;2062.99964375748;2788.6867138102284
Tornesch;0;;;57;14;20 - 49;291;291;291;27;31;174;160;37;1938.6510925642797;2781.0013817944414
Bad Lausick;0;2.500.001 - 5.000.000;2720000;28;14;20 - 49;290;290;290;24;25;62;61;1;1939.5575336554803;2717.0501071305475
Eschwege;0;500.001 - 2.500.000;2000000;43;16;10 - 19;291;291;292;17;21;14;13;2;1802.1428503918803;2384.423741203267
Hamburg;0;5.000.001 - 25.000.000;6600000;62;14;10 - 19;291;290;291;17;18;1742;1346;642;1806.9588372023993;2729.7134668439517
Düsseldorf;0;;;38;22;10 - 19;291;291;291;12;13;889;878;60;1680.3210088487995;1795.838727903863
Lahr;0;;;40;14;20 - 49;291;290;291;31;34;102;101;5;2700.4388898766797;3036.712248730778
Lübbecke;0;5.000.001 - 25.000.000;9000000;13;14;50 - 99;291;292;290;50;55;;;;1970.1077559610799;2454.7605299033025
Schloß Holte-Stukenbrock;0;500.001 - 2.500.000;600000;21;4;10 - 19;291;291;291;10;14;77;74;8;1225.0720338874798;1618.0117558275178
Spessart;0;2.500.001 - 5.000.000;4000000;42;14;10 - 19;291;290;292;11;12;15;15;0;1635.39875916948;2128.31683865469
Schwerin;0;500.001 - 2.500.000;2000000;73;20;10 - 19;291;290;290;17;18;60;57;7;1838.4468027946803;2649.0579706879007
Rüdersdorf;0;500.001 - 2.500.000;1000000;40;14;10 - 19;291;290;291;10;13;;;;1452.1614679944;2254.8755857511564
Güstrow;0;500.001 - 2.500.000;1727000;72;14;20 - 49;291;291;291;26;27;20;20;0;2479.06421863788;2822.799666836075
Mannheim;0;500.001 - 2.500.000;1550000;40;14;10 - 19;291;291;291;19;22;582;573;41;2881.67265954468;3216.757281315744
Roßwein;0;500.001 - 2.500.000;580987;85;14;10 - 19;291;290;290;18;19;42;42;2;1570.42803932268;1925.9394813195677
Langerwehe;0;;;27;14;10 - 19;291;290;290;15;19;167;163;6;1602.3056494954794;1980.7990224754853
Werdohl;0;5.000.001 - 25.000.000;5148337;44;14;20 - 49;291;290;290;25;29;;;;3230.3351048242826;3651.906915882757
